Time,timefit,Condition,Gate,TOF,Extinction,Green,logGreen
T0,0,Low -,R5,2419,3293,173.00,5.153291594
T0,0,Low -,R5,2813,3525,64.70,4.169761202
T0,0,Low -,R5,1635,2483,306.00,5.723585102
T0,0,Low -,R5,1995,2764,301.00,5.707110265
T0,0,Low -,R5,2549,3323,310.00,5.736572297
T0,0,Low -,R5,1930,2612,380.00,5.940171253
T0,0,Low -,R5,2263,3030,207.00,5.332718793
T0,0,Low -,R5,2025,2502,382.00,5.945420609
T0,0,Low -,R5,1359,1549,51.40,3.939638172
T0,0,Low -,R5,1596,2524,337.00,5.82008293
T0,0,Low -,R5,2363,3141,414.00,6.025865974
T0,0,Low -,R5,1839,2542,320.00,5.768320996
T0,0,Low -,R5,2071,2646,324.00,5.780743516
T0,0,Low -,R5,2395,2876,225.00,5.416100402
T0,0,Low -,R5,2170,2810,449.00,6.107022888
T0,0,Low -,R5,2577,2942,496.00,6.206575927
T0,0,Low -,R5,2190,2955,321.00,5.771441123
T0,0,Low -,R5,2118,2374,119.00,4.779123493
T0,0,Low -,R5,2224,2639,500.00,6.214608098
T0,0,Low -,R5,2413,3270,531.00,6.274762021
T0,0,Low -,R5,2062,2087,384.00,5.950642553
T0,0,Low -,R5,2075,2919,396.00,5.981414211
T0,0,Low -,R5,1454,1649,43.60,3.77505715
T0,0,Low -,R5,1975,2732,340.00,5.828945618
T0,0,Low -,R5,2515,2718,283.00,5.645446898
T0,0,Low -,R5,2351,3089,577.00,6.357842267
T0,0,Low -,R5,1931,2334,488.00,6.190315406
T0,0,Low -,R5,2568,3431,513.00,6.240275845
T0,0,Low -,R5,2049,2810,533.00,6.278521424
T0,0,Low -,R5,2056,2616,376.00,5.929589143
T0,0,Low -,R5,2169,2912,267.00,5.587248658
T0,0,Low -,R5,2164,3045,352.00,5.863631176
T0,0,Low -,R5,2482,3088,602.00,6.400257445
T0,0,Low -,R5,1895,2182,151.00,5.017279837
T0,0,Low -,R5,1453,2145,308.00,5.730099783
T0,0,Low -,R5,2317,2724,418.00,6.035481433
T0,0,Low -,R5,2204,2675,452.00,6.11368218
T0,0,Low -,R5,1989,2715,109.00,4.691347882
T0,0,Low -,R5,2030,1987,73.20,4.293195421
T0,0,Low -,R5,2468,2754,375.00,5.926926026
T0,0,Low -,R5,1853,2238,425.00,6.052089169
T0,0,Low -,R5,1756,2411,262.00,5.568344504
T0,0,Low -,R5,2417,2945,187.00,5.231108617
T0,0,Low -,R5,2430,3006,135.00,4.905274778
T0,0,Low -,R5,2045,1850,459.00,6.12905021
T0,0,Low -,R5,1773,1419,112.00,4.718498871
T0,0,Low -,R5,2660,2563,338.00,5.823045895
T0,0,Low -,R5,1907,2537,236.00,5.463831805
T0,0,Low -,R5,2135,2535,166.00,5.111987788
T0,0,Low -,R5,2187,2989,365.00,5.899897354
T0,0,Low -,R5,2398,3167,534.00,6.280395839
T0,0,Low -,R5,2835,2988,438.00,6.08221891
T0,0,Low -,R5,1588,2311,449.00,6.107022888
T0,0,Low -,R5,1608,1374,419.00,6.03787092
T0,0,Low -,R5,1357,1985,264.00,5.575949103
T0,0,Low -,R5,2709,3280,452.00,6.11368218
T0,0,Low -,R5,2413,2889,337.00,5.82008293
T0,0,Low -,R5,1991,2406,278.00,5.627621114
T0,0,Low -,R5,1601,2023,313.00,5.746203191
T0,0,Low -,R5,1706,2556,384.00,5.950642553
